Hotel Name,City,Location,StarRating,ReviewScore,Rating,ReviewCount,freewifi,familyrooms,nonsmokingrooms,restaurant,bar,heating,lift,Cuisine1,Cuisine2,Cuisine3,RoomType,DoubleBed,SingleBed,Price
IntercityHotel Berlin Hauptbahnhof,Berlin,"Mitte, Berlin",4.0,8.1,Very good,"13,218",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Full English/Irish,Business Plus Double Room,Yes,No,19093.0
K&S Apartments,Berlin,"Pankow, Berlin",3.0,7.8,Good,607,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,,Continental,,,,
Leonardo Hotel Berlin KU'DAMM,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4.0,8.0,Very good,"6,925",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,,Comfort Double Room,Yes,No,16370.0
martas Hotel Allegra Berlin,Berlin,"Mitte, Berlin",3.0,8.0,Very good,"2,165",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental,Double Double Room,Yes,No,12901.0
Leonardo Royal Hotel Berlin Alexanderplatz,Berlin,"Friedrichshain-Kreuzberg, Berlin",4.0,8.4,Very good,"10,244",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,,Comfort Double or Twin Room,Yes,No,9885.0
PLAZA INN Berlin Charlottenburg,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,7.3,Good,"3,898",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Full English/Irish,Standard Double Room ,Yes,No,9797.0
Citadines KurfÃ¼rstendamm Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,8.2,Very good,"1,562",,,,,,,,,,,,,,
Grimm's Potsdamer Platz,Berlin,"Mitte, Berlin",3.0,8.8,Fabulous,"6,751",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Vegan,Double Room,Yes,No,13971.0
Hotel AI KÃ¶nigshof,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3.0,7.1,Good,"1,071",,,,,,,,,,,,,,
MeliÃ¡ Berlin,Berlin,"Mitte, Berlin",4.0,8.4,Very good,"6,398",,,,,,,,,,,,,,
