HotelName,RoomType,DoubleBed,SingleBed,Price
Nena Apartments Moritzplatz,Studio,No,Yes,13620
about:berlin Hotel,Small Double Room,Yes,No,15421
numa l Sketch Rooms & Apartments,Studio,No,Yes,15992
Hyperion Hotel Berlin,Junior Suite with Executive Lounge Access,Yes,No,22583
Hotel Abendstern,Double or Twin Room,Yes,No,9490
Hotel am Schloß Köpenick by Golden Tulip,Standard King Room,Yes,No,9490
Hotel Bohemia,Double Room,Yes,No,19332
Das Literaturhotel Berlin,Deluxe Double Room,Yes,No,16695
NH Berlin Alexanderplatz,Standard Double or Twin Room,Yes,No,12653
Hotel Benn,Double Room,Yes,No,14850
ArtHotel Connection,Double Room,Yes,No,15026
Hotel Kubrat an der Spree,Twin Room,Yes,No,9842
Hotel Dori´s 108,Twin Room with Shower,Yes,No,7829
"Hotel am Steinplatz, Autograph Collection","Deluxe Room, 1 King",Yes,No,20210
Hotel Villa Kastania,Family Suite with Balcony,Yes,No,22758
Select Hotel Style Berlin,Double Room - Style,Yes,No,10414
Hotel Am Stuttgarter Eck,Double Room with Shower and Shared Toilet,Yes,No,9490
limehome Berlin Müllerstraße - Digital Access,Suite - barrier-free,Yes,No,14499
Steps-Hotel,Twin Room with Shared Bathroom,Yes,No,8462
Adina Apartment Hotel Berlin Hackescher Markt,Double Standard,Yes,No,15131
Best Western Hotel Kantstrasse Berlin,Standard Double Room,Yes,No,16235
Brauhaus in Spandau,Large Twin Room,Yes,No,11863
Hotel Grenzfall,Double Room with Garden View and Balcony,Yes,No,18101
Apart Hotel Ferdinand Berlin,Double Room,Yes,No,8014
Motel Home Berlin,Deluxe Room,No,Yes,10369
Neu-Helgoland,Double Room,Yes,No,9051
Hotel Ambert,Double Room with Shared Bathroom,Yes,No,6327
Hotel Ambassador-Berlin Grünau,Double Room,Yes,No,9675
Hotel Petit Wannsee,Double Room with Private Bathroom,Yes,No,10454
Adina Apartment Hotel Berlin Checkpoint Charlie,Studio,No,Yes,16525
Hotel Grand Inn,Double Room with Private Bathroom,Yes,No,9411
Victor's Residenz-Hotel Berlin,Comfort  Room,No,Yes,15202
Select Hotel Berlin The Wall,Comfort Double Room,Yes,No,15485
Hotel Amadeus Central,Double Room with Shared Bathroom,Yes,No,7469
Hollywood Media Hotel am Kurfürstendamm,Deluxe Double or Twin Room,Yes,No,15370
Pullman Berlin Schweizerhof,Premium Superior Room,No,Yes,17486
the niu Hide,Standard Double Room,Yes,No,14671
Garden Boutique Hotel,Double Room,Yes,No,17135
Hotel Alex Berlin,Standard Double Room,Yes,No,10826
Hotel Gasteiner Hof,Deluxe Room,No,Yes,13444
harry's home hotel & apartments,Standard Double Room,Yes,No,26273
Hotel 38,Double Room,Yes,No,14156
The Weinmeister Berlin-Mitte - Adults Only,Medium Room,No,Yes,17398
Hotel Astrid am Kurfürstendamm,Comfort Double Room,Yes,No,11413
SO/Berlin Das Stue,SO Stue Room with King Bed and View,Yes,No,31304
Hotel Sachsenhof,Double Room,Yes,No,10896
Wil7 Boutique Hotel,Studio,No,Yes,14461
Airporthotel Berlin-Adlershof,Double Room,Yes,No,10193
Hotel Kiez Pension Berlin,Double Room,Yes,No,16695
Hotel Domicil Berlin by Golden Tulip,Standard Twin Room,Yes,No,11863
Artim Hotel,Standard Double Room,Yes,No,12866
Yggotel Ravn,Standard Double Room,Yes,No,13042
ibis Styles Berlin City Ost,Comfort Twin Room,Yes,No,14147
Eastern & Western Berlin Boat GmbH,Western Comfort Ship - Double Cabin with Shared Bathroom,Yes,No,7268
Amstel House Hostel,Twin Room with Shared Bathroom,Yes,No,19099
GINN City & Lounge Yorck Berlin !New!,Double Room with Garden View,Yes,No,27503
Townhouse Berlin,Balcony Suite,Yes,No,22671
Ku'Damm 101 Hotel,Double Room - Disability Access,Yes,No,16054
HighPark Berlin am Potsdamer Platz,Studio with two single beds,No,Yes,17398
Capri by Fraser Berlin,Deluxe Studio,No,Yes,19156
Come Inn Berlin Kurfürstendamm,Twin Standard,Yes,No,10464
Clipper Boardinghouse - Berlin-Gendarmenmarkt,Comfort Apartment,No,Yes,18365
H+ Hotel Berlin Mitte,Business Double Room,Yes,No,19947
numa I Belfort Rooms & Apartments,Double Room,Yes,No,13796
Seminar- und Gästehaus Flussbad Gartenstrasse,Twin Room,Yes,No,11335
Orania.Berlin,Double Room (Orania.25),Yes,No,27679
Schulz Hotel Berlin Wall at the East Side Gallery,Double or Twin Room,Yes,No,21001
The Mandala Suites,Management Suite,Yes,No,22143
Hotel Pension Bernstein am Kurfürstendamm,Standard Double or Twin Room,Yes,No,12214
Hotel Kaiser,Double Room,Yes,No,12741
Schoenhouse City Street,Suite,Yes,No,15289
Hotel Transit Loft,Family Room with Private Bathroom,No,Yes,15817
Hotel Berlin Mitte by Campanile,Comfort Double or Twin Room,Yes,No,13356
MOXY Berlin Humboldthain Park,"Moxy Sleeper Queen, Guest Room, 1 Queen",No,Yes,16168
Hotel Spreewitz am Kurfürstendamm,Double or Twin Room,Yes,No,8304
numa l Drift Rooms & Apartments,Double Room,Yes,No,25482
The Circus Apartments,Standard Apartment,Yes,No,20905
Seminaris CampusHotel Berlin,Standard Room,Yes,No,22964
Honigmond Boutique Hotel,Double Room,Yes,No,18980
aletto Hotel Potsdamer Platz,Double or Twin Room,Yes,No,15743
Luxury Apartments in Berlin - Luka's apartments by Arbio,Deluxe Apartment,No,Yes,11950
Hotel Q! Berlin,Double Room with Shower,Yes,No,21968
Aspria Berlin Ku'damm,Deluxe Double or Twin Room,Yes,No,21682
Stadtoase im Herzen Berlins,Double Room with Private Bathroom,Yes,No,8264
Hotel AMO by AMANO Friedrichstraße,Standard Double Room,Yes,No,16146
Waldhotel am See Berlin-Schmöckwitz,Twin Room,Yes,No,12104
Classik Hotel Alexander Plaza,Premium Double or Twin Room,Yes,No,17189
Parkhotel Marzahn,Business Double Room,Yes,No,11344
Hotel Mit-Mensch,Standard Double Room,Yes,No,8699
Hotel Hansablick,Comfort Double Room,Yes,No,13093
Hotel Kastanienhof,Standard Double Room,Yes,No,13620
Hotel Bristol Berlin,Executive Room,No,Yes,21616
Grünau Hotel,Double Room,Yes,No,10404
Mercure Hotel Berlin Mitte,Superior Double Room,Yes,No,15553
Hotel Aquino Berlin,Superior Double Room,Yes,No,19771
acama Hotel & Hostel Kreuzberg,Double or Twin Room,Yes,No,10439
Märkischer Hof Hotel,Double Room with Private External Bathroom,Yes,No,8348
