HotelName,RoomType,DoubleBed,SingleBed,Price
The Queens Gate Hotel,Standard Queen Room,Yes,No,22644
Tower Suites by Blue Orchid,Superior Studio,No,Yes,24282
Buckingham & Lloyds,The Royal Albert Memorial Apartment,No,Yes,61191
"Radisson Blu Edwardian Vanderbilt Hotel, London",Standard Room,Yes,No,21175
The Resident Victoria,King Room,Yes,No,25217
Grand Plaza Serviced Apartments,Triple Apartment,No,Yes,24282
Vancouver Studios,Twin Room,Yes,No,16472
Howard Winchester Hotel,Double Room,Yes,No,17794
The Premier Notting Hill,Deluxe Double Room,Yes,No,16472
Cheval Gloucester Park at Kensington,Superior One-Bedroom Apartment,No,Yes,49005
One Aldwych,Superior King Room,Yes,No,66093
"Knightsbridge Hotel, Firmdale Hotels",Double Room,Yes,No,45146
"London Chigwell Prince Regent Hotel, BW Signature Collection",Classic Double Room,Yes,No,12720
The Laslett,Spare Room Double,Yes,No,43011
Buckle Street Studios by Locke,Hotel Room,No,Yes,19421
Apollo Hotel Kings Cross,Double Room with Shared Bathroom,Yes,No,18201
Studios next to Emirates Stadium,Double Room,Yes,No,10168
"The Trafalgar St. James, London Curio collection by Hilton",Trafalgar King Room,Yes,No,41583
Novotel London Waterloo,Superior Queen Room with Double Sofa ,Yes,No,35792
Beaconsfield Hotel,Double Room,Yes,No,8145
Aspen Hotel,Double Studio,Yes,No,17276
Nobu Hotel London Shoreditch,Deluxe Room,No,Yes,36300
Orlando hotel,Standard Twin Room,Yes,No,9253
Admiral Hotel at Park Avenue,Double Room,Yes,No,28064
City View Hotel Stratford,Standard Twin Room,Yes,No,8597
"Hotel Indigo London - 1 Leicester Square, an IHG Hotel",Premium Queen Room,No,Yes,35782
ibis Styles London Southwark - near Borough Market,Standard Queen Room,Yes,No,27505
The Goring,Superior Double or Twin Room,Yes,No,73210
Citadines Holborn - Covent Garden London,Studio,No,Yes,21048
"Brown's Hotel, a Rocco Forte Hotel",Superior King or Twin Room,Yes,No,91005
Wilde Aparthotels by Staycity London Aldgate Tower Bridge,Wilde Studio Accessible,No,Yes,24617
The Beaumont Hotel,Classic King Room,Yes,No,73210
The Warrington Hotel,Standard King Room,Yes,No,17616
Plaza Hotel,Double Room,Yes,No,10783
The Bryson Hotel,Standard Double Room,Yes,No,30809
Victoria Inn,Double Room,Yes,No,14185
The Carlton Tower Jumeirah,Superior Room with exclusive access to Cadogan private gardens,No,Yes,85534
Cheval Three Quays at The Tower of London,Superior One-Bedroom Apartment,No,Yes,50993
Novotel London Wembley,Superior Twin Room,Yes,No,30108
Mimi's Hotel Soho,Mimi's Cosy Room Without Window,No,Yes,18913
Dockside Hotel,Double Room,Yes,No,13523
Thistle London Park Lane,Deluxe King Room,Yes,No,13524
Sonder Edgware Road,Double Room,Yes,No,24939
Euston Square Hotel,Double Room without Window,Yes,No,16463
easyHotel Victoria,Small Double Room without Window,Yes,No,14743
The Brook Green Hotel,Double Room,Yes,No,17184
Lords Hotel,Superior Triple Room,No,Yes,14871
Dreamtel London Kensington,Superior Double Room,Yes,No,17998
The Prime London Hotel,Small Double Room,Yes,No,23285
The Guardsman - Preferred Hotels and Resorts,Executive Double Room,Yes,No,51857
Green Rooms,Small Double Room,Yes,No,9749
easyHotel Paddington,Double Room with Window,Yes,No,11693
Orchard Hotel,Standard Double Room,Yes,No,15557
Hyde Park Green,Deluxe Triple Room,No,Yes,23793
Old Ship Inn Hackney,Double Room,Yes,No,17512
Wanstead Hotel,Twin Room with Private Bathroom,Yes,No,9660
1 Lexham Gardens Hotel,Standard Double Room,Yes,No,13992
Tower Residences by Blue Orchid,Tower Residence Studio with Kitchen,No,Yes,27962
Malmaison London,Club Deluxe Room,No,Yes,30911
Hellenic Hotel by Saba,Quadruple Room with Private Bathroom,No,Yes,22558
Duke and Duchess Apartments and Rooms - Private in Room Hot Tub Suites,Deluxe Studio,No,Yes,11693
"The Soho Hotel, Firmdale Hotels",Superior Room,No,Yes,64669
Great St Helen Hotel,Economy Double Room,Yes,No,36402
Kensington Prime Hotel,Deluxe King Room,Yes,No,18811
Leman Locke,Studio,No,Yes,25014
Farringdon Laceby apartments,One-Bedroom Apartment,No,Yes,26946
Hotel DC,Double Large Room,Yes,No,19828
Native Bankside,Classic Studio,No,Yes,23417
"Holiday Inn Express Earls Court, an IHG Hotel",Standard Double or Twin Room,Yes,No,17718
The Colonnade,Classic Double Room,Yes,No,15400
London Marriott Hotel County Hall,Deluxe King Room,Yes,No,42325
Notting Hill House,Deluxe Studio,No,Yes,18811
The Henrietta Hotel,Deluxe Double or Twin Room,Yes,No,51247
The Fitzrovia Belle Hotel,Superior Double Room,Yes,No,22370
The Marble Arch Suites,Deluxe Double Room,Yes,No,17387
Dukes London,Superior Double Room,Yes,No,38486
Maitrise Hotel Maida Vale - London,Double Room - No Window,Yes,No,9352
Islington Inn,Twin Room,Yes,No,11083
The Rookery,Club Double Room,Yes,No,29386
Monopoly,Double Room with Shared Bathroom,Yes,No,9998
Athena Hotel,Twin Room with Private Bathroom,Yes,No,16572
Plaza London Hotel,Twin En-Suite Room  ,Yes,No,9016
Thanet Hotel Annex,Basic Double Room with Shared Bathroom,Yes,No,8597
Hotel 63,Junior Suite,Yes,No,35080
Batty Langley's,Club Double Room,Yes,No,27352
Cheval Knightsbridge,Luxury One Bedroom Apartment,No,Yes,49783
Arran House Hotel,Twin Room with Shared Bathroom,Yes,No,18303
The Chapter - Mayfair Residence,Double Room with Shared Bathroom,Yes,No,16269
Holland Inn Hotel,Twin Room,Yes,No,8912
ibis London Wembley,Double Room,Yes,No,22268
Kingsland Locke,Underground Studio,No,Yes,21861
"Inhabit, Southwick Street",Deluxe Double Room,Yes,No,28064
Corinthia London,Deluxe King Room,Yes,No,98834
City London Hotel,Double Room,Yes,No,14393
Sheriff Hotel,City Double or Twin with External Private Shower & Toilet,Yes,No,12202
Durrants Hotel,Double Room,Yes,No,34786
Melbourne House Hotel,Double Room with Private Bathroom,Yes,No,17199
The Devonshire,Deluxe Double Room,Yes,No,21353
Hyde Park Court Hotel,Double Room,Yes,No,12202
Canary Wharf Holiday Rooms,Budget Double Room,Yes,No,6863
The Clerk & Well Pub and Rooms,Small Double Room,Yes,No,27962
The Berkeley,Classic Room,No,Yes,152522
"Marriott Executive Apartments London, Canary Wharf",One-Bedroom Apartment,No,Yes,33621
The Bridge Pub & Rooms,Cosy Twin,Yes,No,14032
The Darlington Hyde Park,Standard Double Room,Yes,No,26681
OYO Boston Court Hotel,Standard Twin Room with Shared Bathroom,Yes,No,11256
Forest Gate Hotel,Budget Double Room with Shared Bathroom,Yes,No,7779
The Brompton Hotel,Twin Room,Yes,No,10911
The Portobello Hotel,Budget Double Room,Yes,No,26396
Half Moon,Petite Double ,Yes,No,20956
Sonder Kensington Gardens,Queen Room,No,Yes,26809
The Pillar Hotel,Queen Room,No,Yes,25420
Hotel 261,Double Room (1 - 2 Adults),Yes,No,10677
Berkeley Court Hotel,Basic Double Room with Shared Bathroom,Yes,No,9664
Henrys Townhouse Marylebone,Standard Double or Twin Room,Yes,No,60500
Tulse Hill Hotel,Superior Double Room,Yes,No,17387
Enrico Hotel,Double Room with Shared Bathroom,Yes,No,13219
54 Queen's Gate Hotel,Deluxe Double Room,Yes,No,27362
Duke Of Leinster Hotel,Double Room,Yes,No,20590
Avon Hotel,Quadruple Room,No,Yes,24302
Hand & Flower,Luxury Double Room,Yes,No,25319
One Sloane,Small Double Room,Yes,No,61009
Limehouse Library Hotel,Superior Double Room,Yes,No,28278
London comfy doubles,Apartment With Shared Bathroom,No,Yes,11495
Mansion House with Spacious Apartments close to Excel London and CanaryWharf,Superior King Suite,Yes,No,72397
No1 The Mansions By Mansley,Two Bedroom Apartment with 1 Bathroom,No,Yes,47587
Cheval Thorney Court at Hyde Park,Superior One Bedroom Apartment,No,Yes,58340
Canary Riverside Plaza Hotel,Standard King Room,Yes,No,43926
"Dorset Square Hotel, Firmdale Hotels",Deluxe Room,No,Yes,53078
"The Lanesborough, Oetker Collection",Deluxe Room,No,Yes,125576
My Place Hotel,Standard Twin Room,Yes,No,15084
Sonder Camden Road,Standard Double Room,Yes,No,19156
Cove Landmark Pinnacle,Standard Studio,Yes,No,18811
Berkley Apartments,Deluxe Apartment,No,Yes,18700
"Lost Property St Pauls London, Curio Collection By Hilton",Superior Queen Room,No,Yes,28217
The Warwick By Aura Collection,Standard Double Room,Yes,No,19726
The Beaufort,Double Room,Yes,No,25166
San Domenico House,Standard Double Room,Yes,No,33250
The Waterman's Arms,Superior King Room,Yes,No,13219
Staunton Hotel - B&B,Triple Room,No,Yes,36504
Ravna Gora,Superior Double Room,Yes,No,20641
Central Station,Double Room,Yes,No,22370
Rose Court Hotel,Twin Room,Yes,No,11315
Seven Dials Hotel Annexe,Double Room,Yes,No,17286
Golders Park Hotel,Comfort Twin Room,Yes,No,13714
The Angerstein Hotel,Twin Room with Shared Bathroom,Yes,No,11210
"Ham Yard Hotel, Firmdale Hotels",Superior Room,No,Yes,73210
The Melville Hotel by Rokxy- Kings Cross,Double Room,Yes,No,20336
Opulence Boutique Hotel,Double Room,Yes,No,18303
Soho Apartments,Deluxe Double Studio,Yes,No,21002
Garth Hotel,Double Room with Private Bathroom,Yes,No,12454
Four Seasons Hotel London at Ten Trinity Square,Deluxe Room King Bed,Yes,No,88463
Boundary Shoreditch,Boundary Bedroom,No,Yes,31443
Treehouse Hotel London,King Room,Yes,No,42058
Sonder St Johns Garden,Standard Double Suite,Yes,No,23325
Point A Hotel London Westminster,Double Room without Window,Yes,No,21353
SACO Holborn – Lamb’s Conduit St,One-Bedroom Apartment,No,Yes,26335
Claridge's,Mayfair Room,No,Yes,122017
St Simeon,Standard Twin Room,Yes,No,24302
Russell Square Hotel,Double Room with Shared Toilet,Yes,No,12931
"Number Sixteen, Firmdale Hotels",Superior Room,No,Yes,59178
KX Rooms Kings Cross,Small Double Room with Shared Bathroom,Yes,No,15870
Four Seasons Hotel London at Park Lane,Superior Room with King Bed - Newly Refurbished,Yes,No,103206
The Zetter Marylebone,Deluxe Double ,Yes,No,48356
The Resident Covent Garden,Double or Twin Room,Yes,No,46773
The Connaught,Superior Room,No,Yes,122017
"Charlotte Street Hotel, Firmdale Hotels",Deluxe Room,No,Yes,79311
"OYO 24 Sussex, London Paddington",Deluxe Triple Room,No,Yes,21506
Trafalgar Square Apartments,Deluxe Apartment,No,Yes,24892
COVE Cannon Street,Large Studio Apartment ,No,Yes,32640
"The Cadogan, A Belmond Hotel, London",Superior Queen Room,No,Yes,97106
OYO Sino Hotel,Standard Triple Room,Yes,No,17662
Beaverbrook Town House,Suite,Yes,No,109816
"Mandarin Oriental Hyde Park, London",Superior Room,No,Yes,122017
Courthouse Hotel Shoreditch,Dalston King,Yes,No,30403
17 Hertford Street,Deluxe Studio,No,Yes,30157
"Haymarket Hotel, Firmdale Hotels",Deluxe Room,No,Yes,67110
Studio Apartments at Wembley ARK located in London,Standard Studio,Yes,No,26437
Raffles London at The OWO,Classic Double Room,Yes,No,111849
Petticoat Accommodations,Double Room with Shared Bathroom,Yes,No,12734
New Market Ale House,Double Room with Shared Bathroom,Yes,No,8419
Great River Thames View Entire Apartment in The Most Cental London,Apartment with Lake View,No,Yes,26386
45 Park Lane - Dorchester Collection,Deluxe King Room,Yes,No,117950
Maranton House Hotel Kensington,Triple Room,No,Yes,20743
Covent Garden Apartments,Deluxe Apartment,No,Yes,26059
Seven Dials Studio,Double Studio,Yes,No,17286
Hyde Park Rooms & Apartments,Economy Three-Bedroom Apartment,No,Yes,31114
"The Wellesley, a Luxury Collection Hotel, Knightsbridge, London","Executive Room, Larger Guest room, 1 King",Yes,No,75752
Newham Hotel,Triple Room,No,Yes,71177
41,Executive Double,Yes,No,58670
Hazlitt's,Duke of Monmouth Suite,Yes,No,81243
Ambassadors Hotel,Standard Double Room,Yes,No,27962
Central Hotel,Standard Single with shared Bathroom and toilet ,Yes,No,25990
ibis Budget Manchester Centre Pollard Street,Classic Room with 1 double bed,No,Yes,5072
Motel One Manchester-Piccadilly,Standard Double Room,Yes,No,8033
"Holiday Inn Express Manchester City Centre Arena, an IHG Hotel",Standard Double or Twin Room,Yes,No,8470
Residence Inn by Marriott Manchester Piccadilly,Double Room,Yes,No,9456
The Gardens Hotel,Double Room without Window,Yes,No,6223
Hampton By Hilton Manchester Northern Quarter,Queen Room,No,Yes,7743
Clayton Hotel Manchester City Centre,Deluxe Double & Single Room,Yes,No,12751
"Hotel Indigo Manchester - Victoria Station, an IHG Hotel",Double Room,Yes,No,9680
Hilton Garden Inn Manchester Emirates Old Trafford,King Room,Yes,No,7316
"Kimpton Clocktower, an IHG Hotel",Twin Room Lower Ground Floor,Yes,No,10285
"Holiday Inn Express Manchester City Centre, an IHG Hotel",Double Room,Yes,No,8470
ibis Styles Manchester Portland,Queen Room,No,Yes,7330
Luther King House,Double Room,Yes,No,5948
AC Hotel by Marriott Manchester City Centre,Standard Double Room,Yes,No,9558
The Townhouse Manchester,Classic Double Room,Yes,No,10524
Maldron Hotel Manchester City Centre,Deluxe Double & Single Room,Yes,No,11693
Ville Hotel,Double Room,Yes,No,6589
Moxy Manchester City,"Moxy Sleeper, Guest room, 1 King",Yes,No,9050
ABode Manchester,Standard Double Room,Yes,No,8541
ibis Manchester Centre Princess Street,Double Sweet Room by Ibis,Yes,No,7036
Motel One Manchester-St. Peter´s Square,Standard King Room,Yes,No,10066
Leonardo Hotel Manchester Central - Formerly Jurys Inn,Standard Double Room (2 Adults),Yes,No,9660
Malmaison Manchester,Standard Double Room,Yes,No,10392
the niu Loom,Standard Double or Twin Room,Yes,No,6989
"Crowne Plaza Manchester City Centre, an IHG Hotel",Queen Room,No,Yes,10285
Hotel Gotham,Double Room,Yes,No,16167
Park Inn by Radisson Manchester City Centre,Standard Room,Yes,No,9050
"Trafford Hall Hotel Manchester, Trademark Collection by Wyndham",Cottage Room,No,Yes,8643
YOTEL Manchester Deansgate,King Room (No Window) ,Yes,No,10524
Manchester Piccadilly Hotel,Standard King Room with City View,Yes,No,11795
Hyatt Regency Manchester,King Room,Yes,No,13396
"Holiday Inn Manchester - City Centre, an IHG Hotel",Double or Twin Room,Yes,No,10641
Hotel Brooklyn Manchester,Highline Double Room,Yes,No,13727
easyHotel Manchester,Lower Ground Double Room With Window,Yes,No,4981
INNSiDE by Meliá Manchester,Room standard,No,Yes,14159
Velvet Hotel,Cosy King Room,Yes,No,11805
Britannia Hotel City Centre Manchester,Double Room (No Windows),Yes,No,3864
Dakota Manchester,Classic Double Room,Yes,No,16564
"Hotel Football, Old Trafford, a Tribute Portfolio Hotel",Standard Twin Room,Yes,No,9421
The Alan,The Classic Double,Yes,No,10493
DoubleTree by Hilton Manchester Piccadilly,Twin Guest Room,Yes,No,11931
ibis budget Manchester Salford Quays,Standard Double Room,Yes,No,5519
Pendulum Hotel,Compact Double Room,Yes,No,6914
The Midland,Standard Twin Room,Yes,No,14551
Hilton Manchester Deansgate,Queen Hilton Guestroom,No,Yes,14354
Manchester Marriott Victoria & Albert Hotel,"Guest room, 1 Double",Yes,No,12263
Sachas Hotel Manchester,Double Room (No Windows),Yes,No,4474
"Holiday Inn Express Manchester East, an IHG Hotel",Double Room - Non-Smoking ,Yes,No,10676
Leonardo Hotel Manchester Piccadilly,Standard Double or Twin Room,Yes,No,9050
Stock Exchange Hotel,King Room,Yes,No,18425
"Holiday Inn Manchester West, an IHG Hotel",King Room,Yes,No,9421
ibis Manchester Centre 96 Portland Street,Double Sweet Room by Ibis,Yes,No,7240
"Holiday Inn Manchester-Mediacityuk, an IHG Hotel",Standard Double Room,Yes,No,13539
AC Hotel by Marriott Manchester Salford Quays,Deluxe Twin Room,Yes,No,10778
"Holiday Inn Express Manchester - Salford Quays, an IHG Hotel",Standard King Room,Yes,No,10676
The Lowry Hotel,Deluxe King Double or Twin Room,Yes,No,15150
Staycity Aparthotels Manchester Piccadilly,One-Bedroom Apartment - Sleeps 4,No,Yes,10546
"Holiday Inn Express - Manchester - TRAFFORDCITY, an IHG Hotel",Double Room,Yes,No,9421
Milton Manchester Hotel,Standard Twin Room,Yes,No,4474
Abel Heywood Boutique Hotel,Small Double Room,Yes,No,10880
Hyatt House Manchester,Queen Studio with Kitchenette,No,Yes,13829
Tinapa Suites,Standard Double Room,Yes,No,9237
Airport Hotel Manchester,Double Room,Yes,No,5592
Piccadilly Central,Small Double Room with Shared Shower Room ,Yes,No,5287
Wilde Aparthotels Manchester St. Peters Square,Wilde One Bed Apartment,No,Yes,24729
Motel One Manchester-Royal Exchange,Standard Double Room,Yes,No,8541
The Bulls Head Hotel,Double or Twin Room with Shower,Yes,No,8948
CitySuites Aparthotel,Studio Apartment,No,Yes,16655
Copthorne Hotel Manchester Salford Quays,Standard Double Room,Yes,No,6247
The Waterside Hotel and Leisure Club,Small Double Room,Yes,No,11693
CitySuites Two Aparthotel,Studio Apartment,No,Yes,17296
Roomzzz Manchester Victoria,Standard Apartment,Yes,No,10575
Mercure Manchester Piccadilly Hotel,Classic Twin Room,Yes,No,9070
Campanile Manchester,Twin Room,Yes,No,11185
The Mitre Hotel,Deluxe Room,No,Yes,8236
Bowling Green,Deluxe King Room,Yes,No,9660
Castlefield Hotel,Double Room,Yes,No,9273
Selina NQ1 Manchester,Small Room Shared Bathroom ,No,Yes,4832
Diamond Lodge,Double Room,Yes,No,8643
Hello Hotel,Standard Double Room,Yes,No,7728
Albert View Rooms,Standard Double Room,Yes,No,4301
Crystal Home,Standard Double Room with Shared Bathroom,Yes,No,5084
Miller & Carter Heaton Chapel by Innkeeper's Collection,Double Room,Yes,No,8643
Lower Turks Head,Standard Double Room,Yes,No,8134
The Cow Hollow Hotel,Standard King Room,Yes,No,12100
Native Manchester,Studio,No,Yes,13625
Novotel Manchester Centre,Standard Queen Room with Sofa Bed,Yes,No,9080
"The Edwardian Manchester, A Radisson Collection Hotel",Collection Superior Room,No,Yes,18064
Fairways Lodge & Leisure Club,Standard Double Room,Yes,No,6101
Forty-Seven,King Room,Yes,No,16381
Stay Inn Manchester,Double Room,Yes,No,6738
The Oxnoble,Double or Twin Room with Bathroom,Yes,No,8134
Roomzzz Manchester City,Smart Studio,No,Yes,11490
Hazeldean,Classic Quadruple Room,No,Yes,8694
Empress House,Superior Studio with Shared Bathroom,No,Yes,4576
Leven Manchester,King Room,Yes,No,18201
Imperial Salford Hotel,Economy Double Room,Yes,No,4500
The Spread Eagle,Standard Twin Room,Yes,No,6609
King Street Townhouse,Snug,No,Yes,19126
Whitworth Locke,City Studio,No,Yes,14642
The Westlynne Hotel & Apartments,Double or Twin Room,Yes,No,10575
Eleven Didsbury Park Hotel,Standard Double Room,Yes,No,16269
Milverton Hotel,Double Room with Private Bathroom,Yes,No,7626
"Trivelles Mayfair,stockport",Loft Double Room,Yes,No,6993
Woodthorpe Hotel,Standard King Room,Yes,No,8134
"Weaste Hotel, West Manchester",Small Double Room,Yes,No,4667
Didsbury House Hotel,Standard Double Room,Yes,No,16269
BrewDog DogHouse Manchester,King Room - Disability Access,Yes,No,19116
"The Waterside Bar, Rooms & Restaurant",Twin Room with Shower,Yes,No,10168
Old Trafford Stadium Hotel,Superior Double Room with Ensuite Bathroom,Yes,No,22878
The Pleasant House,Deluxe Double Room,Yes,No,5215
The Ashcroft Apartments,Deluxe Double Studio,Yes,No,13600
Grade Ii Chaseley Mansion 1 King-bed Apt,Superior Apartment,No,Yes,10677
The Ultimate Hen Suite with Bar & Makeup Room,Apartment - Split Level,No,Yes,83277
Swan Street Townhouse Hot Tub & Roof Terrace,Apartment,No,Yes,118967
ibis Melbourne Central,Compact Queen Room,No,Yes,7231
The Jazz Corner Hotel Melbourne,Nina Simone One Bedroom,No,Yes,10134
Dorsett Melbourne,Deluxe Twin Room,Yes,No,8825
Causeway 353 Hotel,Deluxe King Room,Yes,No,11068
The Savoy Hotel on Little Collins Melbourne,Savoy Queen Room,No,Yes,14099
Southbank two bedrooms apartment,Two-Bedroom Apartment,No,Yes,10380
ibis Styles Kingsgate Hotel,Standard Double Room,Yes,No,6123
Clarion Suites Gateway,Studio,No,Yes,11032
Great Southern Hotel Melbourne,Standard Queen Room,Yes,No,6809
The Victoria Hotel,Heritage Queen Room,No,Yes,8128
Best Western Melbourne City,Shoebox Double Room,Yes,No,9928
YTI Garden Hotel,Double Room,Yes,No,5753
Hotel Grand Chancellor Melbourne,Classic Queen Room,No,Yes,9093
YEHS Hotel Melbourne CBD,Standard Double Room,Yes,No,7473
ibis Budget - Melbourne CBD,Standard Queen Room,Yes,No,5753
Mercure Welcome Melbourne,Standard Queen Room,Yes,No,7970
Travelodge Hotel Melbourne Docklands,Standard King Room,Yes,No,7632
City Center Serenity Suite at Southern Cross Precinct,One-Bedroom Apartment,No,Yes,9870
"Holiday Inn Melbourne Airport, an IHG Hotel",Standard Two Double Beds,Yes,No,18104
Sheraton Melbourne Hotel,Traditional Room with Two Double Beds,Yes,No,17682
Radisson On Flagstaff Gardens Melbourne,Standard Room,Yes,No,11116
Mercure North Melbourne,Standard King Room,Yes,No,8920
Toorak Manor Hotel,Standard Queen Room,Yes,No,7917
CitiClub Hotel Melbourne,Superior Queen Room,No,Yes,7582
Melbourne Central YHA,Twin Room with Shared Bathroom,Yes,No,5199
Grand Hyatt Melbourne,Deluxe King Room,Yes,No,20321
Art Series - The Cullen,Studio Suite,Yes,No,11559
The Langham Melbourne,Superior King ,Yes,No,14938
Saint Kilda Beach Hotel - formerly Rydges St Kilda,Superior Queen Room,No,Yes,7337
Atlantis Hotel Melbourne,Executive Queen Suite,Yes,No,8675
Four Points by Sheraton Melbourne Docklands,"Guest Room, 1 King",Yes,No,11559
View Melbourne,Best Value Room ,No,Yes,10480
Mercure Melbourne St Kilda Road,Classic Suite King/Queen with balcony,Yes,No,8978
ibis Budget - Fawkner,Standard Twin Room,Yes,No,5225
Adina Apartment Hotel Melbourne Southbank,One-Bedroom Apartment with King or Twin Beds,Yes,No,12797
Oakwood Premier Melbourne,Accessible Deluxe Room Queen,No,Yes,11575
Park Hyatt Melbourne,King Room,Yes,No,22274
Mantra Melbourne Airport,Executive Studio,No,Yes,13671
Ciloms Airport Lodge,Twin Room,Yes,No,11032
Nightcap at Skyways Hotel,Queen Studio,No,Yes,9237
"Adina Apartment Hotel Melbourne, Pentridge",Standard Double or Twin Room,Yes,No,12503
Quest St Kilda Road,Studio ,No,Yes,10636
Adara Richmond,Studio Apartment,No,Yes,10230
Cosmopolitan Hotel Melbourne,Superior Queen Room,No,Yes,7727
Quality Hotel Melbourne Airport,Superior Studio Room,No,Yes,10979
Hotel Collins,Studio Apartment,No,Yes,9453
Brady Hotels Central Melbourne,Brady Queen Room,No,Yes,9976
Naima Hotel,Studio with Balcony and Kitchen - Twin bedding available on request,Yes,No,8825
The Canvas Apartment Hotel,One-Bedroom Apartment,No,Yes,8023
Mercure Melbourne Albert Park,Standard King Room,Yes,No,9448
Novotel Melbourne Preston,Standard Double Room,Yes,No,11032
Royal Hotel by Nightcap Social,Standard Double Room with Shared Bathroom,Yes,No,5331
Quiet CBD 3b2b apartment + free parking,Three-Bedroom Apartment,No,Yes,26919
Brunswick Tower Hotel,Twin Room,Yes,No,6070
Melbourne Marriott Hotel Docklands,Deluxe Guest room with 1 King,Yes,No,15835
"Hyatt Place Melbourne, Essendon Fields",King Room with Mountain View,Yes,No,18474
The Marker Apartments Melbourne,1 Bedroom Premier Apartment,No,Yes,14893
Tolarno Hotel,Standard Room - Balazac,Yes,No,7134
Novotel Melbourne Central,Superior King Room,Yes,No,12984
Pullman Melbourne On the Park,Superior Double Room with Two Double Beds,Yes,No,15391
Oaks Melbourne on William Suites,Studio with Park View,No,Yes,12615
QT Melbourne,QT King Room,Yes,No,18432
Vibe Hotel Melbourne,Deluxe Suite,Yes,No,16146
Melbourne South Yarra Central Apartment Hotel,One-Bedroom Apartment,No,Yes,8225
Pan Pacific Melbourne,Yarra Suite with Club Lounge Access,Yes,No,57005
Meriton Suites King Street Melbourne,Studio Suite,Yes,No,7770
DoubleTree by Hilton Melbourne,King Guest Room,Yes,No,16574
ibis Melbourne Hotel and Apartments,Two-Bedroom Apartment,No,Yes,17049
Bright Urban Oasis,One-Bedroom Apartment,No,Yes,8234
Quest Docklands,Studio Apartment,No,Yes,12404
Lancemore Crossley St. Melbourne,Lancemore King Room,Yes,No,15782
Art Series - The Olsen,Studio Suite,Yes,No,13671
Stamford Plaza Melbourne,One Bedroom Queen Suite with Spa Bath,Yes,No,13638
Punthill South Yarra Grand,Studio Apartment,No,Yes,10187
La Trobe Street Apartment,One-Bedroom Apartment,No,Yes,12087
The Sebel Melbourne Moonee Ponds,One-Bedroom Apartment with  Queen Bed and Balcony,No,Yes,11507
Adara St Kilda,Studio Suite,Yes,No,7411
Porter Club - The Kinson,Studio,No,Yes,11137
Melbourne Metropole Central,Studio,No,Yes,9293
Park Regis Griffin Suites,Studio King or Twin Room,Yes,No,6862
Pint On Punt Backpackers,Double Room with Shared Bathroom,Yes,No,5265
Punthill Essendon,Studio Apartment,No,Yes,11348
Middle Park Hotel,Deluxe Double Room,Yes,No,9627
Melbourne City Apartments - Teri,One-Bedroom Apartment,No,Yes,11140
Laneways by Ovolo,Downtown Studio,No,Yes,13940
Mantra on Jolimont,King Studio,Yes,No,11559
Naughtons Hotel,Queen Room,No,Yes,9606
Element Melbourne Richmond,King Room,Yes,No,11032
"The Ritz-Carlton, Melbourne",Deluxe King ,Yes,No,30878
Plough Hotel,Deluxe Double Room,Yes,No,7653
Brady Apartment Hotel Hardware Lane,One Bedroom Apartment,No,Yes,12087
Brady Hotels Jones Lane,King Room,Yes,No,17893
St Georges Motor Inn,Queen Room with Spa Bath,No,Yes,7555
Flinders Landing Apartments,One-Bedroom Apartment,No,Yes,11966
MVV Motel & Comfy Kew Apartments,Standard Studio,Yes,No,6272
Tyrian Albert Park Lake,Studio Apartment,No,Yes,12598
"Kimberley Gardens Hotel, Serviced Apartments and Serviced Villas",Superior Queen Room,No,Yes,8313
The Hotel Windsor,Traditional Queen Room,No,Yes,15571
Style City Apartment Living !,One-Bedroom Apartment,No,Yes,9026
Mercure Melbourne Southbank,Superior King Room,Yes,No,21947
Ink Hotel Melbourne Southbank,Queen Room,No,Yes,10403
Amora Hotel Riverwalk,Courtyard Queen Room with Balcony,No,Yes,12140
ibis Budget - Melbourne Airport,Twin Room with Bunk Bed,Yes,No,13143
The Prince,Deluxe Queen Room,No,Yes,11976
Aura on Flinders Serviced Apartments,One-Bedroom Budget Apartment,No,Yes,8249
HarbourView Apartment Hotel (now Arrow on Spencer),Deluxe Two Bedroom Apartment,No,Yes,7534
Essence Hotel Carlton,Standard Twin Room,Yes,No,13695
Quest Collingwood,Studio,No,Yes,13248
Seasons Heritage Melbourne,Economy Double Room,Yes,No,4468
Imagine Lighthouse,ONE BEDROOM APARTMENT,No,Yes,8301
Hyatt Centric Melbourne,Twin Room with View,Yes,No,27711
Pullman Melbourne Albert Park,Classic Room,No,Yes,14726
Caroline Serviced Apartments Brighton,Studio,No,Yes,12087
Quest NewQuay,Studio Apartment,No,Yes,10029
City Centre Budget Hotel,Double Room with Shared Bathroom,Yes,No,5542
Mantra on Little Bourke,Studio Queen Queen,No,Yes,14251
The Como Melbourne - MGallery,Superior Double Room with Two Single Beds,Yes,No,15307
voco Melbourne Central,Standard Room,Yes,No,18738
Carlton Lygon Lodge,Standard Suite,Yes,No,7917
Cozy & spacious 2B2B APT in CBD,Two-Bedroom Apartment,No,Yes,13671
Ovolo South Yarra,Boogie,No,Yes,11414
Quest Prahran,Superior One-Bedroom Apartment,No,Yes,11876
Birches Serviced Apartments,Standard Apartment,Yes,No,9765
Melbourne City Backpackers,Private Double Room with Shared Bathroom (2 Guests),Yes,No,7126
