Hotel Name,City,Location,StarRating,ReviewScore,Rating,ReviewCount
Happy Hotel Berlin,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",2,6.5,Review score,"2,444"
TWO Hotel Berlin by Axel - Adults Only,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,7.9,Good,"2,764"
MEININGER Hotel Berlin Mitte,Berlin,"Mitte, Berlin",3,7.9,Good,"3,558"
Gold Palais Hotel,Berlin,"Prenzlauer Berg, Berlin",,,,886
Vienna House Easy by Wyndham Berlin Prenzlauer Berg,Berlin,"Prenzlauer Berg, Berlin",3,8.1,Very good,"3,621"
NH Berlin Potsdamer Platz,Berlin,"Friedrichshain-Kreuzberg, Berlin",4,8.5,Very good,"2,060"
Hotel Rossi,Berlin,"Mitte, Berlin",,,,"2,252"
Hotel Himmel und Havel,Berlin,"Spandau, Berlin",4,8.4,Very good,851
MÃ¶venpick Hotel Berlin Am Potsdamer Platz,Berlin,"Friedrichshain-Kreuzberg, Berlin",4,7.9,Good,"3,332"
Enjoy Hotel am Studio,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.6,Good,957
"Lindner Hotel Berlin Ku'damm, part of JdV by Hyatt",Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.3,Very good,"2,699"
Queens Park Hotel,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,5.1,Review score,"2,219"
Novum Hotel Kronprinz Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7.3,Good,"2,290"
Alper Hotel am Potsdamer Platz,Berlin,"Mitte, Berlin",3,5.2,Review score,"1,356"
Upper Room Hotel KurfÃ¼rstendamm,Berlin,"Charlottenburg-Wilmersdorf, Berlin",3,7,Good,"6,400"
Michelberger Hotel,Berlin,"Friedrichshain-Kreuzberg, Berlin",,,,"1,624"
25hours Hotel Bikini Berlin,Berlin,"Charlottenburg-Wilmersdorf, Berlin",4,8.7,Fabulous,"1,648"
H4 Hotel Berlin Alexanderplatz,Berlin,"Mitte, Berlin",4,8.3,Very good,"8,484"
Hotel Christophorus,Berlin,"Spandau, Berlin",3,8,Very good,373
HighPark by Palmira,Berlin,"Mitte, Berlin",4,8.8,Fabulous,"3,426"
Quentin Design Hotel Berlin,Berlin,"Tempelhof-SchÃ¶neberg, Berlin",4,5.7,Review score,314
