Hotel Name,freewifi,familyrooms,nonsmokingrooms,restaurant,bar,heating,lift,Cuisine1,Cuisine2,Cuisine3
Britannia International Hotel Canary Wharf,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Vegan
Royal Park Hotel,Yes,Yes,Yes,Yes,Yes,No,Yes,Local,Asian,Continental
"Radisson Blu Edwardian Bloomsbury Street Hotel, London",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegetarian,N/A
Central Hoxton Shoreditch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,American
Copthorne Tara Hotel London Kensington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Full English/Irish,N/A
ibis London Shepherds Bush - Hammersmith,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Vegetarian,N/A
Woodman Pub,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Ameican,Full English/Irish
Hyatt Regency London Stratford,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Continental
NOX Belsize Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Strand Palace Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Continental
"Holiday Inn Express London - ExCel, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Ameican,N/A
Doubletree By Hilton London - Greenwich,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
Boutique Ensuite Room like hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Asian,N/A
"Holiday Inn London Kensington High St., an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,N/A
St Johns Boutique Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,N/A
The Grand at Trafalgar Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Full English/Irish,Full English/Irish
Moxy London Stratford,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Continental,N/A
The Londoner,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Vegan,N/A
"Shangri-La The Shard, London",Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,N/A
The Z Hotel Trafalgar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,Full English/Irish
L'oscar London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,Continental
ibis London City - Shoreditch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,N/A
ibis Styles London Gloucester Road,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Continental
Absolute Pleasure Yacht,Yes,Yes,Yes,Yes,Yes,No,Yes,Local,Vegetarian,N/A
Ember Locke,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,Full English/Irish
York & Albany,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
The Queens Gate Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,Vegan
Merit Kensington Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Continental
The Barbican Rooms,Yes,Yes,Yes,Yes,No,Yes,Yes,Vegan,Ameican,N/A
"The Hoxton, Shepherds Bush",Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Continental,N/A
The Montcalm At Brewery London City,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,N/A,N/A
Best Western Swiss Cottage Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,N/A
Dorsett Shepherds Bush London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Full English/Irish
Nobu Hotel London Portman Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,Continental
Hampton by Hilton London Park Royal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,N/A
41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Vegan,Continental
Hyde Park Executive Apartments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,N/A
Milestone Hotel Kensington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Asian,Full English/Irish
The Cumberland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Vegetarian,Continental
The Chesterfield Mayfair,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,Vegan
Wilde Aparthotels by Staycity Covent Garden,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,Continental
Cromwell International Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Vegetarian,N/A
Zedwell Piccadilly Circus,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,American
The Grand M London city,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,N/A
"Hotel Indigo London Hyde Park Paddington, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,N/A
NOX Edgware Road,Yes,Yes,Yes,Yes,Yes,No,Yes,Full English/Irish,Continental,Full English/Irish
Strathmore Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,Continental
Grand Royale London Hyde Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,N/A
Central Studio Like a Hotel Room,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Asian,Continental
Sidney Hotel London-Victoria,No,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,N/A
ibis London Docklands Canary Wharf,No,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Full English/Irish
Hilton London Metropole,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Continental
Alhambra Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Vegan
ibis London Canning Town,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Vegan,Continental
Belmont Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Continental,N/A
Notting Hill Gate Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,N/A,Full English/Irish
New Linden Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Vegetarian,Continental
Citadines Barbican London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Vegan
"The Pond House, Ensuite Rooms - East London Short Let's",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Full English/Irish,Continental
Royal National Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Vegetarian,N/A
The Captain Cook,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Ameican,American
198 Studios,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
Pestana Chelsea Bridge Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Comfort Inn Hyde Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Full English/Irish
Ruby Zoe Hotel London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Ameican,Continental
The Mandeville Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
Blackbird,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Asian,Continental
Seraphine Hammersmith Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Full English/Irish,N/A
Lansbury Heritage Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Continental,Full English/Irish
easyHotel Victoria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,Continental
Commodore Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Vegan
"Holiday Inn Express London-Hammersmith, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Vegan,Continental
DoubleTree by Hilton London Victoria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,N/A
Elmwood Hotel,Yes,Yes,Yes,Yes,Yes,No,Yes,American,Asian,Full English/Irish
Grange Clarendon Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Vegetarian,Continental
1 Craven Hill Gardens,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Vegan
The Z Hotel Victoria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,Continental
ABC Hyde Park Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Vegetarian,N/A
Columbus Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Ameican,American
Snoozebox Olympic Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
Four Stars Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Park Plaza London Riverbank,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Full English/Irish
The Columbia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,Continental
Paddington Court Executive Rooms,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,N/A
Park Grand Paddington Court,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Asian,Continental
Apex Temple Court Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Full English/Irish,N/A
Wedgewood Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Full English/Irish
DoubleTree by Hilton London Ealing,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,Continental
The Distillery,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Vegan
Hotel Shepherds Bush London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Vegan,Continental
Millennium & Copthorne Hotels at Chelsea Football Club,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
Notting Hill House,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,Full English/Irish
Hilton London Euston,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Vegetarian,Continental
Hampton By Hilton London Docklands,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Vegan
Twenty Nevern Square Hotel,Yes,No,Yes,Yes,No,Yes,Yes,Local,Full English/Irish,Continental
"Crowne Plaza London Kings Cross, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,No,Yes,American,Vegetarian,N/A
The Belgrove Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Ameican,American
Flexistay Norbury Aparthotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Continental,N/A
Stanley House Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,N/A
OYO Vegas Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Full English/Irish
Marble Arch Inn,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Ameican,Continental
ibis London Excel-Docklands,No,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
The Belgrave Hotel,No,Yes,Yes,Yes,Yes,Yes,Yes,International,Asian,Continental
"Holiday Inn Express Southwark, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,N/A
NOX Hyde Park,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Continental,Full English/Irish
Clayton Hotel Chiswick,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,N/A,Continental
The Z Hotel Gloucester Place,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Continental,Vegan
NOX Paddington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Vegan,Continental
New Road Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,N/A
Hilton London Bankside,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Asian,Full English/Irish
Oxford Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Vegetarian,Continental
Brick Lane Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Vegan
Hilton London Paddington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Continental
"Huttons Hotel, Victoria London",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,N/A
DoubleTree by Hilton London - Hyde Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,American
Millennium Gloucester Hotel London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
London House Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
NOX Golders Green,Yes,Yes,Yes,Yes,Yes,No,Yes,Local,Continental,Full English/Irish
"Holiday Inn London - Regent's Park, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,Continental
The Royale Chulan Hyde Park Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,N/A
146 Studios,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Asian,Continental
"Radisson Blu Edwardian Kenilworth Hotel, London",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Full English/Irish,N/A
H10 London Waterloo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Full English/Irish
The Z Hotel Soho,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,Continental
OYO Somerset Hotel Baker Street London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Vegan
Star Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegan,Continental
1 Hotel Mayfair,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,N/A
Garden View Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Asian,Full English/Irish
Prince Regent Hotel Excel London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Vegetarian,Continental
The Brent Hotel - London - Wembley and Harrow,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Vegan
The Pig and Whistle,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,N/A,Continental
Roseate House London,Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,Vegetarian,N/A
ibis London Blackfriars,Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,Ameican,American
The Ampersand Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,N/A
Arch hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,N/A
DoubleTree by Hilton Hotel London - Marble Arch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Full English/Irish
Glendale Hyde Park Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,Continental
Euston Square Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
The Princess Victoria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Asian,Continental
Hilton London Hyde Park,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,N/A
Millennium Hotel London Knightsbridge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
"Holiday Inn Express Park Royal, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
The Chapter - Griffin House Hotel,Yes,Yes,Yes,Yes,No,Yes,No,Local,Continental,N/A
"Crowne Plaza London Ealing, an IHG Hotel",Yes,Yes,Yes,Yes,No,Yes,Yes,American,Vegan,N/A
Comfotel GRN,Yes,Yes,Yes,No,No,Yes,Yes,N/A,N/A,Full English/Irish
The Pilgrm,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Asian,N/A
The Sanctuary House Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Vegetarian,N/A
Pasha Hotel - 3* Boutique Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
citizenM Tower of London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,Full English/Irish
Adria Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,Continental
Hilton London Angel Islington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Ameican,N/A
Peckham Rooms Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Continental
"Holiday Inn Express London Victoria, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,N/A
Citadines Trafalgar Square,No,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Full English/Irish
Gresham Hotel Bloomsbury,No,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Ameican,Continental
citizenM London Victoria Station,Yes,Yes,Yes,Yes,Yes,No,Yes,Continental,N/A,Vegan
Fountain Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Asian,Continental
Hotel 63,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,N/A
"The Gantry London, Curio Collection By Hilton",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
Canopy by Hilton London City,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
Studios next to Emirates Stadium,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
Comfort Inn Edgware Road W2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegan,Full English/Irish
The Z Hotel Strand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Continental
"Queensway Hotel, Sure Hotel Collection by Best Western",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,N/A
Doubletree By Hilton London Kensington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,Continental
Mornington Hotel London Victoria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
Central Park Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Full English/Irish
St Athans Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,Continental
Regency Hotel Parkside,Yes,Yes,Yes,Yes,No,Yes,Yes,Local,Continental,Vegan
NOX West Hampstead,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Ameican,Continental
Sloane Square Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Continental,N/A
"The Westminster London, Curio Collection by Hilton",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Asian,American
Sonder The Voyage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,N/A
Avonmore Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,N/A
Americana Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Full English/Irish,Full English/Irish
Manor Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
The Maiden Oval Hotel- FKA Belgrave Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Vegan,N/A
The Z Hotel Covent Garden,Yes,Yes,Yes,Yes,Yes,No,Yes,American,Continental,Continental
Hotel Edward Paddington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,N/A,N/A
Riu Plaza London Victoria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Vegetarian,Full English/Irish
Orlando hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Continental,Continental
Malmaison London,Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,Full English/Irish,Vegan
City Sleeper at Royal National Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Continental,Vegetarian,Continental
The Cranley Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Ameican,N/A
The Abbey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Full English/Irish
Apex City Of London Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Continental
OYO London Guest House,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Vegan
Centel - Excellent Stay in London Zone 1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,Continental
Ruby Lucy Hotel London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,N/A
King Solomon Hotel- Golders Green,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,American
The Waldorf Hilton,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,N/A
DoubleTree by Hilton London Chelsea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
Hilton London Canary Wharf,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Full English/Irish
Kings Cross Hotel London,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,Continental
Dockers Inn,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Vegan,N/A
The Standard London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Continental,Continental
"Mornington Hotel London Kensington, BW Premier Collection",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Asian,N/A
Mercure London Bloomsbury Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Vegetarian,Full English/Irish
"OYO Abbey Hotel, London Shepherd's Bush Market",Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Continental
Crestfield Hotel,Yes,Yes,Yes,Yes,Yes,No,Yes,Local,Full English/Irish,Vegan
Citadines Islington London,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Vegetarian,Continental
Dreamtel London Kensington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Ameican,N/A
"Holiday Inn London - Whitechapel, an IHG Hotel",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Continental,Full English/Irish
The Brookmill,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,Continental
"Club Quarters Hotel London City, London",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Vegan
Bermondsey Square Hotel - A Bespoke Hotel,No,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Ameican,Continental
Tudor Court Hotel,No,Yes,Yes,Yes,No,Yes,Yes,Continental,N/A,N/A
Marlin Aldgate Tower Bridge,Yes,Yes,Yes,Yes,No,Yes,Yes,American,Asian,American
The Pelham London - Starhotels Collezione,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Full English/Irish,N/A
Ambassadors Bloomsbury,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,N/A
Novotel London Excel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Full English/Irish
London Stay Apartments,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
30 willesden lane,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Vegan,N/A
Hyatt House London Stratford - Aparthotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Seven Dials Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Asian,N/A
Thistle Trafalgar Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,Full English/Irish
Ten Manchester Street Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Best Western London Highbury,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Full English/Irish,Vegan
DoubleTree by Hilton London Angel Kings Cross,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Vegetarian,Continental
Mayflower Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Vegan,Ameican,N/A
The Premier Notting Hill,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,Continental,Full English/Irish
The Long Room Hotel and Bar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,Continental
55 by Le Mirage,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,Vegan
TiTiwangsa One Accomodation at Paddington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,Continental
Norfolk Towers Paddington,Yes,Yes,Yes,No,Yes,Yes,Yes,N/A,N/A,N/A
Morton Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Asian,American
Novotel London Tower Bridge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,Full English/Irish,N/A
"The Hoxton, Shoreditch",Yes,Yes,Yes,Yes,Yes,No,Yes,Full English/Irish,Continental,N/A
Marlin Apartments London Bridge - Empire Square,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,N/A,Full English/Irish
The Chapter Hotels - Hyde Park,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,N/A,Continental
Park Plaza Victoria London,Yes,No,Yes,Yes,Yes,Yes,Yes,Continental,Vegan,N/A
The Villa Kensington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Continental,Continental
The Royal Horseguards,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,N/A,N/A
The Eaton Townhouse,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Vegetarian,Full English/Irish
"Park Plaza London, Park Royal",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
CitySpace Tower Bridge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Vegan
The Green W7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Vegetarian,Continental
Marlin Canary Wharf,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Ameican,N/A
Lords Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Full English/Irish
Pembridge Palace Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Full English/Irish,Continental
Novotel London Greenwich,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Vegan
"Radisson Blu Edwardian Sussex Hotel, London",Yes,Yes,Yes,Yes,Yes,Yes,Yes,American,Ameican,Continental
The Brewers Inn,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Continental,N/A
London City Airport Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Vegan,Asian,American
Forest House Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,Full English/Irish,N/A,N/A
Novotel London Canary Wharf,Yes,Yes,Yes,Yes,No,Yes,Yes,Asian,Continental,N/A
Belvedere Hotel,Yes,Yes,Yes,Yes,No,Yes,Yes,International,Full English/Irish,Full English/Irish
MSK Hotel 82,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Local,Continental,Continental
Mama Shelter London - Shoreditch,Yes,Yes,Yes,Yes,Yes,Yes,Yes,International,Vegan,N/A
The Collective Canary Wharf,Yes,Yes,Yes,Yes,Yes,No,Yes,American,Continental,Continental
Paddington Park Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Asian,N/A,N/A
Rockwell East-Tower Bridge,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Vegetarian,Full English/Irish
The Kensington Hotel,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full English/Irish,Continental,Continental
easyHotel Paddington,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Full English/Irish,Vegan
The California,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Continental,Vegetarian,Continental
